Ширина,Длина,Насекомое
10,50,жук
20,30,гусеница
25,30,гусеница
20,60,жук
15,70,жук
40,40,гусеница
30,45,гусеница
20,45,жук
40,30,гусеница
21,45,жук
37,31,гусеница
37,42,гусеница
26,40,гусеница
14,50,жук
28,18,гусеница
46,10,гусеница
26,43,гусеница
23,49,жук
36,23,гусеница
22,13,гусеница
12,23,жук
30,44,гусеница
25,10,гусеница
12,46,жук
40,13,гусеница
39,38,гусеница
28,48,гусеница
34,42,гусеница
26,40,гусеница
12,46,жук
48,37,гусеница
33,36,гусеница
21,24,гусеница
24,26,гусеница
41,37,гусеница
37,27,гусеница
36,39,гусеница
25,13,гусеница
32,16,гусеница
41,36,гусеница
34,26,гусеница
23,22,гусеница
13,15,гусеница
34,45,гусеница
45,27,гусеница
21,49,жук
27,50,жук
50,43,гусеница
17,34,жук

